op,gas_costs,Bsize,Esize,Msize,B,E,M,tx_hash,tx_index,block_number,eip2565_cost,eip7883_cost,cost_increase,cost_ratio,from_address,to_address,value,gas_used,gas_price,transaction_type,eth_cost_current,eth_cost_eip7883,eth_cost_increase
STATICCALL,1349,32,32,32,0x2fc110234bf1608c416df1d7d1e1e8029009520f27019fafb771a1b4158ce440,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593efffffff,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0x2b4d28abb34e11208b6ca83c5d50182c1478749eac3e95faf839bad6440b98b7,94,22785331,1349,1349,0,1.0,,,,,,,,,
STATICCALL,1349,32,32,32,0x161ea194a03e363ba3130c087c41eb72d3c66b9777f3601b38906c48c36bf8e7,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593efffffff,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0x2b4d28abb34e11208b6ca83c5d50182c1478749eac3e95faf839bad6440b98b7,94,22785331,1349,1349,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0x60cfe4baa1a222e916b841e94aea071bee1e38915659972492e1a8f144df10a0,0xffffffff00000000ffffffffffffffffbce6faada7179e84f3b9cac2fc63254f,0xffff,0x0ec64ea50e21b121d0d7018b16cca16a56c161ad9c1a5c310400f2fe2b217ed4,36,22785324,1360,1360,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0x68479afb4a97c523313922203001c43a755fe8c76300ab77c4758bfb79bbca64,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffff,0x0ec64ea50e21b121d0d7018b16cca16a56c161ad9c1a5c310400f2fe2b217ed4,36,22785324,1360,1360,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0x2861e67507646f25911b072dfd0233a2cdb2e926a672ff29cb19dce45eb8b7df,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffff,0x0ec64ea50e21b121d0d7018b16cca16a56c161ad9c1a5c310400f2fe2b217ed4,36,22785324,1360,1360,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0xe713974ab3bf32198f862b9a206e4fdde354874883c566a321c07a54d6ccd13,0xffffffff00000000ffffffffffffffffbce6faada7179e84f3b9cac2fc63254f,0xffffffff000000,0x78fe8a5357b0488aca930b927399914873f3addc77e9ea1e95881b50a1b400fe,160,22785323,1360,1360,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0xeea5c05fc77000ed0da24e4bbe06d0105006bec4050041c60ad1633361d449e8,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffffffff000000,0x78fe8a5357b0488aca930b927399914873f3addc77e9ea1e95881b50a1b400fe,160,22785323,1360,1360,0,1.0,,,,,,,,,
STATICCALL,200,32,32,32,0x26d16345ed676e1b0a34b1e1fb93089bedcb9014a8a8e322cb4c34804d788afd,0x1000000,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0x2dd473e94b0675427f034e700a241360b96c33ea8bae37a72baf45ef61aeddea,147,22785322,200,500,300,2.5,,,,,,,,,
STATICCALL,1349,32,32,32,0x1dd2a326f2cc4a4e6acb85c751c2f480286728bd00e9f5f6dbd3e26c197dd5bc,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593efffffff,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0x2dd473e94b0675427f034e700a241360b96c33ea8bae37a72baf45ef61aeddea,147,22785322,1349,1349,0,1.0,,,,,,,,,
STATICCALL,200,32,32,32,0xc9fabc7845d50d2852e2a0371c6441f145e0db82e8326961c25f1e3e32b045b,0xa65352,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0x2dd473e94b0675427f034e700a241360b96c33ea8bae37a72baf45ef61aeddea,147,22785322,200,500,300,2.5,,,,,,,,,
STATICCALL,1349,32,32,32,0x51240097cdfd3b306eb6adc6a6eef2ac8bff109835ca0f7261d708e3238a5df,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593efffffff,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0x2dd473e94b0675427f034e700a241360b96c33ea8bae37a72baf45ef61aeddea,147,22785322,1349,1349,0,1.0,,,,,,,,,
STATICCALL,1349,32,32,32,0x26d16345ed676e1b0a34b1e1fb93089bedcb9014a8a8e322cb4c34804d788afc,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593efffffff,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0x2dd473e94b0675427f034e700a241360b96c33ea8bae37a72baf45ef61aeddea,147,22785322,1349,1349,0,1.0,,,,,,,,,
STATICCALL,200,32,32,32,0x26d16345ed676e1b0a34b1e1fb93089bedcb9014a8a8e322cb4c34804d788afd,0x1000002,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0x2dd473e94b0675427f034e700a241360b96c33ea8bae37a72baf45ef61aeddea,147,22785322,200,500,300,2.5,,,,,,,,,
STATICCALL,1338,32,32,32,0x1e77bea02df0b9219799c127fcafcac7b4e89cf2e518a4a394a6c67767325bfe,0xc19139cb84c680a6e14116da060561765e05aa45a1c72a34f082305b61f3f52,0x30644e72e131a029b85045b68181585d97816a916871ca8d3c208c16d87cfd47,0x806f5bc0877c2581a2352c998e09ab43148d53e820910955ee82fba637305b1b,182,22785319,1338,1338,0,1.0,,,,,,,,,
STATICCALL,1338,32,32,32,0x634ca358488bb6489852788028ea1e93546289ecc523381b5adad2242b5b315,0xc19139cb84c680a6e14116da060561765e05aa45a1c72a34f082305b61f3f52,0x30644e72e131a029b85045b68181585d97816a916871ca8d3c208c16d87cfd47,0x806f5bc0877c2581a2352c998e09ab43148d53e820910955ee82fba637305b1b,182,22785319,1338,1338,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0x76d21e5c878ba35975a78779c14c4268c189b5da0951ef88cd658d90fab5015d,0xffffffff00000000ffffffffffffffffbce6faada7179e84f3b9cac2fc63254f,0xffff,0xdb46801716f922835a480f1e0044d9f90cd0362e971b9898cc285dc6eaf9331b,10,22785314,1360,1360,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0x68479afb4a97c523313922203001c43a755fe8c76300ab77c4758bfb79bbca64,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffff,0xdb46801716f922835a480f1e0044d9f90cd0362e971b9898cc285dc6eaf9331b,10,22785314,1360,1360,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0x795f9c31093a6e22d5d995076dec59bc6a9f7999f4ce6d342862fbe47732fdd3,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffff,0xdb46801716f922835a480f1e0044d9f90cd0362e971b9898cc285dc6eaf9331b,10,22785314,1360,1360,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0x7a86fedc574346e29a0e201798344c6baf9a634fa644ada4f944723aaf158793,0xffffffff00000000ffffffffffffffffbce6faada7179e84f3b9cac2fc63254f,0xffffffff00000000ffff,0x317983a687bb879509a375b4c93b4da0739778f1d22442c55e3fee3527e6b333,17,22785298,1360,1360,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0x16b52f46e95a9119984b30306f0d5013266c5b30c548fc523789b0cabfa39f73,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffffffff000000010000,0x317983a687bb879509a375b4c93b4da0739778f1d22442c55e3fee3527e6b333,17,22785298,1360,1360,0,1.0,,,,,,,,,
STATICCALL,200,32,32,32,0xf33bab09c429ccf92ccc3a0334b5cca3127adae4b0264bd0b79b2ca40ac6ed8,0x18,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0xd210d9f8e329a473bc80455f98bf83cec1dc95f1394011c955a294a487b4413d,127,22785297,200,500,300,2.5,,,,,,,,,
STATICCALL,200,32,32,32,0x23441f5e0885c2fd936e3f7d49df25ad45a00d0fd16f2fdde54dc197c57711ac,0x800000,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0xd210d9f8e329a473bc80455f98bf83cec1dc95f1394011c955a294a487b4413d,127,22785297,200,500,300,2.5,,,,,,,,,
STATICCALL,1349,32,32,32,0x23578bc928ada3ae0b087977c55cd467313580bec0a68a300dd58c5dc522b7f1,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593efffffff,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0xd210d9f8e329a473bc80455f98bf83cec1dc95f1394011c955a294a487b4413d,127,22785297,1349,1349,0,1.0,,,,,,,,,
STATICCALL,1349,32,32,32,0xb41184564414ecf40045a51f34ecdb998810b61d1ac4d48081ca14fe263ac0b,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593efffffff,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0xd210d9f8e329a473bc80455f98bf83cec1dc95f1394011c955a294a487b4413d,127,22785297,1349,1349,0,1.0,,,,,,,,,
STATICCALL,1349,32,32,32,0x4de39180ec9127f94944832c1644d9ccc4da21e1d3767a7a313e2da5dee2338,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593efffffff,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0xd210d9f8e329a473bc80455f98bf83cec1dc95f1394011c955a294a487b4413d,127,22785297,1349,1349,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0x5c8c0203e832e21886a365861f126ab3f8bd151cd4ca241032b6ee938c205b78,0xffffffff00000000ffffffffffffffffbce6faada7179e84f3b9cac2fc63254f,0xffff,0xc1dfda73b8e92e5491bb54a64bf06a43cd2c1eefcf1b9ff00d0c700eb79473ab,108,22581031,1360,1360,0,1.0,0x106b67c3f6d4fff429668b0496d2e4cda55e805b,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0.0,342259.0,4781343550.0,2.0,6.502627228e-06,6.502627228e-06,0.0
STATICCALL,1360,32,32,32,0x44487dc8e37f2622f0f6370978a1bea1ae3672bece27286002c311e6ce13502b,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffff,0xc1dfda73b8e92e5491bb54a64bf06a43cd2c1eefcf1b9ff00d0c700eb79473ab,108,22581031,1360,1360,0,1.0,0x106b67c3f6d4fff429668b0496d2e4cda55e805b,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0.0,342259.0,4781343550.0,2.0,6.502627228e-06,6.502627228e-06,0.0
STATICCALL,1360,32,32,32,0x2921f8b80c35e3b3cc181d05f56c077109bfe515ad13a455135a71f9b4135c80,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffff,0xc1dfda73b8e92e5491bb54a64bf06a43cd2c1eefcf1b9ff00d0c700eb79473ab,108,22581031,1360,1360,0,1.0,0x106b67c3f6d4fff429668b0496d2e4cda55e805b,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0.0,342259.0,4781343550.0,2.0,6.502627228e-06,6.502627228e-06,0.0
STATICCALL,1360,32,32,32,0x710d44ec5ef65f374d38db69cacebdd943c34da2bb443857f260641b297386ec,0xffffffff00000000ffffffffffffffffbce6faada7179e84f3b9cac2fc63254f,0xffff,0xddb25c8316a3d0ba86399c25a2aa5276af1ba68d3a63dfe33d6b5ec24f62b35c,40,22581020,1360,1360,0,1.0,0x106b67c3f6d4fff429668b0496d2e4cda55e805b,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0.0,445015.0,4417577899.0,2.0,6.00790594264e-06,6.00790594264e-06,0.0
STATICCALL,1360,32,32,32,0x7b82ffd8e088ac7bc35bcd8d52e64f444c0b71181556f97358818099ce2dedda,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffff,0xddb25c8316a3d0ba86399c25a2aa5276af1ba68d3a63dfe33d6b5ec24f62b35c,40,22581020,1360,1360,0,1.0,0x106b67c3f6d4fff429668b0496d2e4cda55e805b,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0.0,445015.0,4417577899.0,2.0,6.00790594264e-06,6.00790594264e-06,0.0
