from_address,total_increase,avg_increase,call_count,std_increase,total_gas_current,avg_gas_current,total_gas_new,avg_gas_new,unique_contracts,unique_transactions,first_block,last_block,active_blocks,avg_base_size,max_base_size,avg_exp_size,max_exp_size,avg_mod_size,max_mod_size,cost_ratio,activity_span,avg_calls_per_block
0xf579a1cdfb89d0aaf240d489ef10ab01a2b7f8f2,10800,150.0,72,151.05,55764,774.5,66564,924.5,1,12,22090323,22444007,12,32.0,32,32.0,32,32.0,32,1.1936733376371853,353684,0.00020357097417193266
0x7fea26a181a792b5107ee0a31e434f5dbcbbe0b7,7200,225.0,32,131.98,15592,487.25,22792,712.25,1,4,22100904,22122143,4,32.0,32,32.0,32,32.0,32,1.4617752693689072,21239,0.0015065913370998117
0xb66d4af4e96bf96026454a6a150edd2ce55e9e67,3600,225.0,16,134.16,7796,487.25,11396,712.25,1,2,22481245,22496293,2,32.0,32,32.0,32,32.0,32,1.4617752693689072,15048,0.0010631935676789156
0xb9d48daf26f3cbe01a959f09f98e8a2ec8204122,3600,225.0,16,134.16,7796,487.25,11396,712.25,1,2,22137921,22579860,2,32.0,32,32.0,32,32.0,32,1.4617752693689072,441939,3.6204009594062545e-05
0x477c1b7dc1091389cbd3eef21efb00081606ab67,3000,120.0,25,150.0,22235,889.4,25235,1009.4,1,5,22579469,22580679,5,32.0,32,32.0,32,32.0,32,1.134922419608725,1210,0.02064409578860446
0x3cbe03d5bfc55b47e332b9ff71feba0f0e2133dd,2700,150.0,18,154.35,13941,774.5,16641,924.5,1,3,22121295,22580893,3,32.0,32,32.0,32,32.0,32,1.1936733376371853,459598,3.916457607610112e-05
0x221bcf9ccece1452edd113839be1740433910f6c,1800,150.0,12,156.67,9294,774.5,11094,924.5,1,2,22093314,22093358,2,32.0,32,32.0,32,32.0,32,1.1936733376371853,44,0.26666666666666666
0xbb57444579afde79b11a51e0a91d1dc1a9742f90,1800,225.0,8,138.87,3898,487.25,5698,712.25,1,1,22580142,22580142,1,32.0,32,32.0,32,32.0,32,1.4617752693689072,0,8.0
0x686d2493ce60e2f3b2f49979611f3246fdbcf3ec,1500,300.0,5,0.0,1000,200.0,2500,500.0,1,2,22101587,22329795,2,32.0,32,32.0,32,32.0,32,2.5,228208,2.1909740632490392e-05
0x9a5e3cd9c92c455a1fcf4acd52068f1dd3ec3998,1200,300.0,4,0.0,800,200.0,2000,500.0,1,1,22103257,22103257,1,32.0,32,32.0,32,32.0,32,2.5,0,4.0
